capture_id,label,bilingual_gloss,english,maori,priority,current_verified_samples,min_required,target_total,clips_to_record_now,recommended_signers,min_clip_duration_sec,max_clip_duration_sec,background_guidance,camera_guidance,variation_guidance,consent_required,status,notes
manual_ferry_01,ferry,ferry / waka whakawhiti,Ferry,Waka whakawhiti,1,0,8,16,12,3,2,4,Plain indoor background with good contrast,Chest-up framing with both hands visible,Record natural tempo plus one slower repetition,true,ready,No verified exact-match NZSL samples yet
manual_taxi_01,taxi,taxi / tekihi,Taxi,Tekihi,1,2,8,16,8,2,2,4,Plain indoor background with good contrast,Chest-up framing with both hands visible,Include slight signer-to-signer variation,true,ready,High-value transport term with low current coverage
manual_station_01,station,station / teihana,Station,Teihana,1,2,8,16,8,2,2,4,Plain indoor background with good contrast,Chest-up framing with both hands visible,Keep start/end neutral before each sign,true,ready,Current dataset has only railway-station clips
manual_platform_01,platform,platform / papa waka,Platform,Papa waka,1,2,8,16,8,2,2,4,Plain indoor background with good contrast,Chest-up framing with both hands visible,Record clear pause before and after sign,true,ready,Core public-transport wayfinding term
manual_ticket_01,ticket,ticket / tikiti,Ticket,Tikiti,1,2,8,16,8,2,2,4,Plain indoor background with good contrast,Chest-up framing with both hands visible,Include one normal and one emphatic delivery,true,ready,Service term with very low current coverage
manual_hello_01,hello,hello / kia ora,Hello,Kia ora,1,2,8,20,10,3,2,4,Plain indoor background with good contrast,Chest-up framing with face fully visible,Keep greeting natural and conversational,true,ready,Important bilingual greeting and Māori inclusion term
manual_thank_you_01,thank_you,thank you / mihi,Thank you,Mihi,1,2,8,20,10,3,2,4,Plain indoor background with good contrast,Chest-up framing with face fully visible,Record polite conversational use,true,ready,Important high-frequency social term
manual_bathroom_01,bathroom,bathroom / wharepaku,Bathroom,Wharepaku,2,2,8,16,8,2,2,4,Plain indoor background with good contrast,Chest-up framing with both hands visible,Keep sign isolated rather than embedded in sentence,true,ready,Common public-space support term
manual_motorbike_01,motorbike,motorbike / motopaika,Motorbike,Motopaika,2,2,8,16,8,2,2,4,Plain indoor background with good contrast,Chest-up framing with both hands visible,Vary signer speed slightly,true,ready,Useful contrast class against bicycle and car
manual_crossing_01,crossing,crossing / ara whakawhiti,Crossing,Ara whakawhiti,2,2,8,16,8,2,2,4,Plain indoor background with good contrast,Chest-up framing with both hands visible,Keep the movement path clearly visible,true,ready,Pedestrian-safety wayfinding term
manual_path_01,path,path / ara,Path,Ara,2,3,8,16,6,2,2,4,Plain indoor background with good contrast,Chest-up framing with both hands visible,Include slight regional variation if natural,true,ready,Current source uses broader gloss path/road
manual_boat_01,boat,boat / waka,Boat,Waka,2,3,8,16,6,2,2,4,Plain indoor background with good contrast,Chest-up framing with both hands visible,Keep isolated sign boundaries clean,true,ready,Useful fallback transport/water term
