label,bilingual_gloss,english,maori,nzsl_priority,bsl_auxiliary_status,risk_level,recommended_use,preferred_bsl_source,source_url,mapping_confidence,notes
train,train / tereina,Train,Tereina,1,candidate,low,template_or_pretrain,bsl_signbank,https://bslsignbank.ucl.ac.uk/,high,Core transport term and likely strong BANZSL overlap
bus,bus / pahi,Bus,Pahi,1,candidate,medium,template_or_pretrain,bsl_signbank,https://bslsignbank.ucl.ac.uk/,medium,Promising but broader bus/truck gloss ambiguity should be checked
car,car / motoka,Car,Motoka,1,candidate,medium,template_or_pretrain,bsl_signbank,https://bslsignbank.ucl.ac.uk/,medium,Common concept with likely overlap but should be manually compared
bicycle,bicycle / paihikara,Bicycle,Paihikara,1,candidate,low,template_or_pretrain,bsl_signbank,https://bslsignbank.ucl.ac.uk/,high,Good auxiliary candidate for movement and handshape overlap
motorbike,motorbike / motopaika,Motorbike,Motopaika,2,candidate,medium,template_or_pretrain,sign_bsl,https://www.signbsl.com/,medium,Useful contrast class against bicycle and car
walk,walk / hikoi,Walk,Hikoi,1,candidate,low,template_or_pretrain,bsl_signbank,https://bslsignbank.ucl.ac.uk/,high,Simple high-frequency movement concept
stop,stop / tauranga pahi,Stop / Bus stop,Tauranga pahi,1,candidate,medium,template_or_rule_reference,bsl_signbank,https://bslsignbank.ucl.ac.uk/,medium,Need to distinguish generic stop from bus-stop-specific NZSL label
help,help / awhina,Help,Awhina,1,candidate,low,template_or_pretrain,bsl_signbank,https://bslsignbank.ucl.ac.uk/,high,High-frequency support term with likely usable overlap
wait,wait / tatari,Wait,Tatari,2,candidate,low,template_or_pretrain,bsl_signbank,https://bslsignbank.ucl.ac.uk/,high,Likely useful for both ML transfer and rule comparison
yes,yes / ae,Yes,Ae,2,candidate,low,template_or_rule_reference,sign_bsl,https://www.signbsl.com/,high,Short clear gesture and good rule-based reference term
no,no / kaore,No,Kao / Kaore,2,candidate,low,template_or_rule_reference,sign_bsl,https://www.signbsl.com/,high,Short clear gesture and good rule-based reference term
please,please / tena koa,Please,Tena koa,2,candidate,medium,template_or_pretrain,sign_bsl,https://www.signbsl.com/,medium,Politeness term worth checking manually
thank_you,thank you / mihi,Thank you,Mihi,1,candidate,medium,template_or_pretrain,sign_bsl,https://www.signbsl.com/,medium,High-value social term but mouthing and regional variation should be checked
hello,hello / kia ora,Hello,Kia ora,1,candidate,high,reference_only,british_sign_dictionary,https://www.british-sign.co.uk/british-sign-language/dictionary/,low,English greeting semantics overlap but Māori-specific NZSL greeting should not be assumed equivalent
ticket,ticket / tikiti,Ticket,Tikiti,2,candidate,medium,template_or_pretrain,sign_bsl,https://www.signbsl.com/,medium,Useful service term if a close BSL equivalent is available
station,station / teihana,Station,Teihana,1,candidate,high,reference_only,bsl_signbank,https://bslsignbank.ucl.ac.uk/,low,Infrastructure vocabulary may diverge by country and transport system
platform,platform / papa waka,Platform,Papa waka,1,candidate,high,reference_only,bsl_signbank,https://bslsignbank.ucl.ac.uk/,low,Needs manual comparison because transport semantics may differ
ferry,ferry / waka whakawhiti,Ferry,Waka whakawhiti,1,reject,high,do_not_use,, ,low,Do not map from generic BSL boat without exact conceptual match
kia_ora,hello / kia ora,Hello,Kia ora,1,reject,high,do_not_use,, ,low,Do not treat Māori-specific greeting as interchangeable with generic BSL hello
