nzsl_label,aux_label,bilingual_gloss,english,maori,nzsl_priority,auslan_auxiliary_status,risk_level,recommended_use,preferred_source,source_url,mapping_confidence,notes
train,train,train / tereina,Train,Tereina,1,candidate,low,pretrain,mm_wlauslan,https://arxiv.org/abs/2410.19488,high,Core transport term and strong BANZSL overlap candidate
bus,bus,bus / pahi,Bus,Pahi,1,candidate,medium,pretrain,mm_wlauslan,https://arxiv.org/abs/2410.19488,medium,Useful if Auslan gloss boundary is generic bus rather than bus-truck merged
car,car,car / motoka,Car,Motoka,1,candidate,medium,pretrain,mm_wlauslan,https://arxiv.org/abs/2410.19488,medium,Common transport concept likely usable for auxiliary transfer
bicycle,bicycle,bicycle / paihikara,Bicycle,Paihikara,1,candidate,low,pretrain,mm_wlauslan,https://arxiv.org/abs/2410.19488,high,High-value movement and handshape overlap candidate
motorbike,motorbike,motorbike / motopaika,Motorbike,Motopaika,2,candidate,medium,pretrain,mm_wlauslan,https://arxiv.org/abs/2410.19488,medium,Good contrast class against bicycle and car if available
walk,walk,walk / hikoi,Walk,Hikoi,1,candidate,low,pretrain,mm_wlauslan,https://arxiv.org/abs/2410.19488,high,Simple high-frequency mobility concept
help,help,help / awhina,Help,Awhina,1,candidate,low,pretrain,mm_wlauslan,https://arxiv.org/abs/2410.19488,high,Strong auxiliary candidate
wait,wait,wait / tatari,Wait,Tatari,2,candidate,low,pretrain,mm_wlauslan,https://arxiv.org/abs/2410.19488,high,Useful temporal gesture candidate
yes,yes,yes / ae,Yes,Ae,2,candidate,low,pretrain,mm_wlauslan,https://arxiv.org/abs/2410.19488,high,Short clear sign likely useful for transfer
no,no,no / kaore,No,Kaore,2,candidate,low,pretrain,mm_wlauslan,https://arxiv.org/abs/2410.19488,high,Short clear sign likely useful for transfer
please,please,please / tena koa,Please,Tena koa,2,candidate,medium,pretrain,mm_wlauslan,https://arxiv.org/abs/2410.19488,medium,Politeness term worth trying as auxiliary if available
thank_you,thank_you,thank you / mihi,Thank you,Mihi,1,candidate,medium,pretrain,mm_wlauslan,https://arxiv.org/abs/2410.19488,medium,High-value social sign with possible regional variation
ticket,ticket,ticket / tikiti,Ticket,Tikiti,2,candidate,medium,pretrain,mm_wlauslan,https://arxiv.org/abs/2410.19488,medium,Useful service term if gloss is available
stop,stop,stop / tauranga pahi,Stop / Bus stop,Tauranga pahi,1,candidate,high,reference_only,auslan_signbank,https://auslan.org.au/dictionary/,low,NZSL label mixes stop and bus-stop semantics so use carefully
station,station,station / teihana,Station,Teihana,1,candidate,high,reference_only,auslan_signbank,https://auslan.org.au/dictionary/,low,Infrastructure vocabulary may diverge by country and system
platform,platform,platform / papa waka,Platform,Papa waka,1,candidate,high,reference_only,auslan_signbank,https://auslan.org.au/dictionary/,low,Needs manual comparison before any training use
taxi,taxi,taxi / tekihi,Taxi,Tekihi,1,candidate,high,reference_only,auslan_signbank,https://auslan.org.au/dictionary/,low,Possible lexical mismatch and low confidence
boat,boat,boat / waka,Boat,Waka,2,candidate,medium,pretrain,mm_wlauslan,https://arxiv.org/abs/2410.19488,medium,Can help boat-like transport concepts but should stay separate from ferry
ferry,boat,ferry / waka whakawhiti,Ferry,Waka whakawhiti,1,reject,high,do_not_use,auslan_signbank,https://auslan.org.au/dictionary/,low,Do not map ferry to generic boat without exact confirmation
hello,hello,hello / kia ora,Hello,Kia ora,1,reject,high,do_not_use,auslan_signbank,https://auslan.org.au/dictionary/,low,Do not treat Maori-specific greeting as interchangeable with generic Auslan hello
